Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
RAYTHEON TECHNOLOGIES CORP,RTX,75513E101,BM5M5Y3,4.725273,-,6645469.000,USD,,,,
HONEYWELL INTERNATIONAL INC,HON,438516106,2020459,4.336505,-,3030761.000,USD,,,,
UNITED PARCEL SERVICE CL B,UPS,911312106,2517382,4.094827,-,3310572.000,USD,,,,
UNION PACIFIC CORP,UNP,907818108,2914734,4.032825,-,2775570.000,USD,,,,
CATERPILLAR INC,CAT,149123101,2180201,4.010495,-,2360731.000,USD,,,,
BOEING CO/THE,BA,097023105,2108601,3.898977,-,2550879.000,USD,,,,
GENERAL ELECTRIC CO,GE,369604301,BL59CR9,3.780388,-,4941224.000,USD,,,,
LOCKHEED MARTIN CORP,LMT,539830109,2522096,3.432373,-,1030669.000,USD,,,,
DEERE + CO,DE,244199105,2261203,3.377783,-,1226605.000,USD,,,,
AUTOMATIC DATA PROCESSING,ADP,053015103,2065308,2.917480,-,1879563.000,USD,,,,
EATON CORP PLC,ETN,G29183103,B8KQN82,2.453696,-,1803893.000,USD,,,,
CSX CORP,CSX,126408103,2160753,2.240691,-,9535919.000,USD,,,,
ILLINOIS TOOL WORKS,ITW,452308109,2457552,2.147383,-,1259274.000,USD,,,,
NORTHROP GRUMMAN CORP,NOC,666807102,2648806,2.133597,-,652545.000,USD,,,,
WASTE MANAGEMENT INC,WM,94106L109,2937667,1.962796,-,1684612.000,USD,,,,
3M CO W/D,MMM,88579Y101,2595708,1.818670,-,2496688.000,USD,,,,
FEDEX CORP,FDX,31428X106,2142784,1.705943,-,1053141.000,USD,,,,
NORFOLK SOUTHERN CORP,NSC,655844108,2641894,1.625400,-,1033039.000,USD,,,,
GENERAL DYNAMICS CORP,GD,369550108,2365161,1.576480,-,1020566.000,USD,,,,
EMERSON ELECTRIC CO,EMR,291011104,2313405,1.574394,-,2591354.000,USD,,,,
PARKER HANNIFIN CORP,PH,701094104,2671501,1.506145,-,581804.000,USD,,,,
JOHNSON CONTROLS INTERNATION,JCI,G51502105,BY7QL61,1.434799,-,3116720.000,USD,,,,
TRANSDIGM GROUP INC,TDG,893641100,B11FJK3,1.366977,-,235227.000,USD,,,,
CINTAS CORP,CTAS,172908105,2197137,1.347630,-,391678.000,USD,,,,
TRANE TECHNOLOGIES PLC,TT,G8994E103,BK9ZQ96,1.319797,-,1038799.000,USD,,,,
PACCAR INC,PCAR,693718108,2665861,1.300741,-,2367143.000,USD,,,,
CARRIER GLOBAL CORP,CARR,14448C104,BK4N0D7,1.244121,-,3782939.000,USD,,,,
COPART INC,CPRT,217204106,2208073,1.208871,-,1944032.000,USD,,,,
OTIS WORLDWIDE CORP,OTIS,68902V107,BK531S8,1.183040,-,1881328.000,USD,,,,
PAYCHEX INC,PAYX,704326107,2674458,1.174206,-,1454813.000,USD,,,,
L3HARRIS TECHNOLOGIES INC,LHX,502431109,BK9DTN5,1.165411,-,863464.000,USD,,,,
AMETEK INC,AME,031100100,2089212,1.135056,-,1041354.000,USD,,,,
ROCKWELL AUTOMATION INC,ROK,773903109,2754060,1.123347,-,520750.000,USD,,,,
VERISK ANALYTICS INC,VRSK,92345Y106,B4P9W92,1.117616,-,709239.000,USD,,,,
COSTAR GROUP INC,CSGP,22160N109,2262864,1.059434,-,1844250.000,USD,,,,
CUMMINS INC,CMI,231021106,2240202,1.049384,-,641737.000,USD,,,,
WW GRAINGER INC,GWW,384802104,2380863,1.027732,-,204200.000,USD,,,,
FASTENAL CO,FAST,311900104,2332262,1.007021,-,2588565.000,USD,,,,
REPUBLIC SERVICES INC,RSG,760759100,2262530,0.954220,-,932719.000,USD,,,,
OLD DOMINION FREIGHT LINE,ODFL,679580100,2656423,0.937817,-,411363.000,USD,,,,
EQUIFAX INC,EFX,294429105,2319146,0.889421,-,556254.000,USD,,,,
