Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
MICROSOFT CORP,MSFT,594918104,2588173,23.925048,-,34505972.000,USD,,,,
APPLE INC,AAPL,037833100,2046251,23.016282,-,60368332.000,USD,,,,
NVIDIA CORP,NVDA,67066G104,2379504,5.627062,-,7003170.000,USD,,,,
BROADCOM INC,AVGO,11135F101,BDZ78H9,4.133479,-,2432203.000,USD,,,,
SALESFORCE INC,CRM,79466L302,2310525,2.567353,-,5820263.000,USD,,,,
CISCO SYSTEMS INC,CSCO,17275R102,2198163,2.552035,-,23910372.000,USD,,,,
ACCENTURE PLC CL A,ACN,G1151C101,B4BNMY3,2.444318,-,3665304.000,USD,,,,
ADOBE INC,ADBE,00724F101,2008154,2.389868,-,2664526.000,USD,,,,
ADVANCED MICRO DEVICES,AMD,007903107,2007849,2.370870,-,9384400.000,USD,,,,
ORACLE CORP,ORCL,68389X105,2661568,2.018594,-,8945023.000,USD,,,,
TEXAS INSTRUMENTS INC,TXN,882508104,2885409,1.945119,-,5274392.000,USD,,,,
INTEL CORP,INTC,458140100,2463247,1.614882,-,24078459.000,USD,,,,
QUALCOMM INC,QCOM,747525103,2714923,1.602664,-,6489633.000,USD,,,,
INTL BUSINESS MACHINES CORP,IBM,459200101,2005973,1.516201,-,5262315.000,USD,,,,
INTUIT INC,INTU,461202103,2459020,1.480642,-,1635016.000,USD,,,,
APPLIED MATERIALS INC,AMAT,038222105,2046552,1.420436,-,4906935.000,USD,,,,
SERVICENOW INC,NOW,81762P102,B80NXX8,1.338457,-,1181577.000,USD,,,,
ANALOG DEVICES INC,ADI,032654105,2032067,1.140871,-,2950032.000,USD,,,,
LAM RESEARCH CORP,LRCX,512807108,2502247,1.028419,-,785308.000,USD,,,,
MICRON TECHNOLOGY INC,MU,595112103,2588184,0.913164,-,6350966.000,USD,,,,
SYNOPSYS INC,SNPS,871607107,2867719,0.827970,-,887075.000,USD,,,,
KLA CORP,KLAC,482480100,2480138,0.801423,-,805978.000,USD,,,,
CADENCE DESIGN SYS INC,CDNS,127387108,2302232,0.761568,-,1596584.000,USD,,,,
NXP SEMICONDUCTORS NV,NXPI,N6596X109,B505PN7,0.602948,-,1508246.000,USD,,,,
ROPER TECHNOLOGIES INC,ROP,776696106,2749602,0.596337,-,617283.000,USD,,,,
MOTOROLA SOLUTIONS INC,MSI,620076307,B5BKPQ4,0.586009,-,973126.000,USD,,,,
AMPHENOL CORP CL A,APH,032095101,2145084,0.584421,-,3460784.000,USD,,,,
MICROCHIP TECHNOLOGY INC,MCHP,595017104,2592174,0.553654,-,3188318.000,USD,,,,
FORTINET INC,FTNT,34959E109,B5B2106,0.542634,-,3773965.000,USD,,,,
