Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
PROCTER + GAMBLE CO/THE,PG,742718109,2704407,14.067782,-,17105868.000,USD,,,,
PEPSICO INC,PEP,713448108,2681511,10.319725,-,9986314.000,USD,,,,
COCA COLA CO/THE,KO,191216100,2206657,9.687363,-,28221073.000,USD,,,,
COSTCO WHOLESALE CORP,COST,22160K105,2701271,9.454346,-,3217513.000,USD,,,,
WALMART INC,WMT,931142103,2936921,4.796160,-,5625966.000,USD,,,,
MONDELEZ INTERNATIONAL INC A,MDLZ,609207105,B8CKK03,4.658085,-,11168099.000,USD,,,,
PHILIP MORRIS INTERNATIONAL,PM,718172109,B2PKRQ3,4.085824,-,7835137.000,USD,,,,
ALTRIA GROUP INC,MO,02209S103,2692632,3.718064,-,14627007.000,USD,,,,
COLGATE PALMOLIVE CO,CL,194162103,2209106,2.942914,-,6842038.000,USD,,,,
TARGET CORP,TGT,87612E106,2259101,2.848116,-,3770892.000,USD,,,,
GENERAL MILLS INC,GIS,370334104,2367026,2.303167,-,4829947.000,USD,,,,
KIMBERLY CLARK CORP,KMB,494368103,2491839,2.134244,-,2764888.000,USD,,,,
MONSTER BEVERAGE CORP,MNST,61174X109,BZ07BW4,2.071710,-,6240139.000,USD,,,,
ESTEE LAUDER COMPANIES CL A,EL,518439104,2320524,1.988986,-,1897861.000,USD,,,,
ARCHER DANIELS MIDLAND CO,ADM,039483102,2047317,1.846505,-,4481559.000,USD,,,,
CONSTELLATION BRANDS INC A,STZ,21036P108,2170473,1.835727,-,1330006.000,USD,,,,
HERSHEY CO/THE,HSY,427866108,2422806,1.749473,-,1204012.000,USD,,,,
SYSCO CORP,SYY,871829107,2868165,1.724674,-,4158297.000,USD,,,,
DOLLAR GENERAL CORP,DG,256677105,B5B1S13,1.637775,-,1831503.000,USD,,,,
KRAFT HEINZ CO/THE,KHC,500754106,BYRY499,1.402890,-,6522349.000,USD,,,,
KROGER CO,KR,501044101,2497406,1.399249,-,5336223.000,USD,,,,
DOLLAR TREE INC,DLTR,256746108,2272476,1.272748,-,1703210.000,USD,,,,
KEURIG DR PEPPER INC,KDP,49271V100,BD3W133,1.231403,-,6961076.000,USD,,,,
CHURCH + DWIGHT CO INC,CHD,171340102,2195841,1.056341,-,1997771.000,USD,,,,
MCCORMICK + CO NON VTG SHRS,MKC,579780206,2550161,1.053903,-,2053960.000,USD,,,,
WALGREENS BOOTS ALLIANCE INC,WBA,931427108,BTN1Y44,1.052426,-,5864417.000,USD,,,,
CLOROX COMPANY,CLX,189054109,2204026,0.913423,-,1012001.000,USD,,,,
KELLOGG CO,K,487836108,2486813,0.795430,-,2091163.000,USD,,,,
CONAGRA BRANDS INC,CAG,205887102,2215460,0.760612,-,3893794.000,USD,,,,
LAMB WESTON HOLDINGS INC,LW,513272104,BDQZFJ3,0.759289,-,1175457.000,USD,,,,
JM SMUCKER CO/THE,SJM,832696405,2951452,0.725008,-,871091.000,USD,,,,
TYSON FOODS INC CL A,TSN,902494103,2909730,0.669836,-,2333192.000,USD,,,,
BUNGE LTD,BG,G16962105,2788713,0.643897,-,1223942.000,USD,,,,
MOLSON COORS BEVERAGE CO   B,TAP,60871R209,B067BM3,0.569456,-,1535923.000,USD,,,,
HORMEL FOODS CORP,HRL,440452100,2437264,0.544442,-,2365949.000,USD,,,,
CAMPBELL SOUP CO,CPB,134429109,2162845,0.471971,-,1639108.000,USD,,,,
