Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
PROLOGIS INC,PLD,74340W103,B44WZD7,13.411694,-,4670545.000,USD,,,,
AMERICAN TOWER CORP,AMT,03027X100,B7FBFL2,10.167213,-,2355893.000,USD,,,,
EQUINIX INC,EQIX,29444U700,BVLZX12,7.931861,-,468279.000,USD,,,,
CROWN CASTLE INC,CCI,22822V101,BTGQCX1,5.649803,-,2191096.000,USD,,,,
PUBLIC STORAGE,PSA,74460D109,2852533,5.111715,-,799947.000,USD,,,,
REALTY INCOME CORP,O,756109104,2724193,4.346207,-,3173620.000,USD,,,,
WELLTOWER INC,WELL,95040Q104,BYVYHH4,4.291756,-,2391137.000,USD,,,,
SIMON PROPERTY GROUP INC,SPG,828806109,2812452,4.121930,-,1654495.000,USD,,,,
VICI PROPERTIES INC,VICI,925652109,BYWH073,3.703451,-,5079300.000,USD,,,,
DIGITAL REALTY TRUST INC,DLR,253868103,B03GQS4,3.497880,-,1455056.000,USD,,,,
AVALONBAY COMMUNITIES INC,AVB,053484101,2131179,2.957863,-,707993.000,USD,,,,
CBRE GROUP INC   A,CBRE,12504L109,B6WVMH3,2.831606,-,1598966.000,USD,,,,
SBA COMMUNICATIONS CORP,SBAC,78410G104,BZ6TS23,2.791719,-,546393.000,USD,,,,
EQUITY RESIDENTIAL,EQR,29476L107,2319157,2.514895,-,1723786.000,USD,,,,
WEYERHAEUSER CO,WY,962166104,2958936,2.449388,-,3708747.000,USD,,,,
INVITATION HOMES INC,INVH,46187W107,BD81GW9,2.291540,-,2936091.000,USD,,,,
EXTRA SPACE STORAGE INC,EXR,30225T102,B02HWR9,2.216965,-,677829.000,USD,,,,
ALEXANDRIA REAL ESTATE EQUIT,ARE,015271109,2009210,2.150770,-,797207.000,USD,,,,
VENTAS INC,VTR,92276F100,2927925,2.091560,-,2021868.000,USD,,,,
MID AMERICA APARTMENT COMM,MAA,59522J103,2589132,2.015636,-,584542.000,USD,,,,
IRON MOUNTAIN INC,IRM,46284V101,BVFTF03,1.871123,-,1471497.000,USD,,,,
ESSEX PROPERTY TRUST INC,ESS,297178105,2316619,1.684237,-,327023.000,USD,,,,
UDR INC,UDR,902653104,2727910,1.483744,-,1565544.000,USD,,,,
HOST HOTELS + RESORTS INC,HST,44107P104,2567503,1.453818,-,3617586.000,USD,,,,
CAMDEN PROPERTY TRUST,CPT,133131102,2166320,1.396748,-,557168.000,USD,,,,
HEALTHPEAK PROPERTIES INC,PEAK,42250P103,BJBLRK3,1.334531,-,2761029.000,USD,,,,
KIMCO REALTY CORP,KIM,49446R109,2491594,1.334202,-,3123086.000,USD,,,,
REGENCY CENTERS CORP,REG,758849103,2726177,1.048137,-,777665.000,USD,,,,
BOSTON PROPERTIES INC,BXP,101121101,2019479,0.855484,-,720349.000,USD,,,,
FEDERAL REALTY INVS TRUST,FRT,313745101,BN7P9B2,0.786096,-,369676.000,USD,,,,
