Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
NEXTERA ENERGY INC,NEE,65339F101,2328915,15.354034,-,32281967.000,USD,,,,
SOUTHERN CO/THE,SO,842587107,2829601,7.967734,-,17720596.000,USD,,,,
DUKE ENERGY CORP,DUK,26441C204,B7VD3F2,7.291092,-,12533527.000,USD,,,,
SEMPRA ENERGY,SRE,816851109,2138158,4.811024,-,5116525.000,USD,,,,
DOMINION ENERGY INC,D,25746U109,2542049,4.538103,-,13563492.000,USD,,,,
AMERICAN ELECTRIC POWER,AEP,025537101,2026242,4.523654,-,8364313.000,USD,,,,
EXELON CORP,EXC,30161N101,2670519,4.167505,-,16175370.000,USD,,,,
XCEL ENERGY INC,XEL,98389B100,2614807,3.669750,-,8907745.000,USD,,,,
CONSOLIDATED EDISON INC,ED,209115104,2216850,3.459742,-,5776170.000,USD,,,,
PUBLIC SERVICE ENTERPRISE GP,PEG,744573106,2707677,3.241088,-,8121513.000,USD,,,,
CONSTELLATION ENERGY,CEG,21037T109,BMH4FS1,3.089611,-,5322962.000,USD,,,,
AMERICAN WATER WORKS CO INC,AWK,030420103,B2R3PV1,2.947714,-,3140957.000,USD,,,,
WEC ENERGY GROUP INC,WEC,92939U106,BYY8XK8,2.912958,-,5134433.000,USD,,,,
P G + E CORP,PCG,69331C108,2689560,2.877501,-,26207002.000,USD,,,,
EDISON INTERNATIONAL,EIX,281020107,2829515,2.687690,-,6215892.000,USD,,,,
EVERSOURCE ENERGY,ES,30040W108,BVVN4Q8,2.572333,-,5669494.000,USD,,,,
DTE ENERGY COMPANY,DTE,233331107,2280220,2.240060,-,3153581.000,USD,,,,
AMEREN CORPORATION,AEE,023608102,2050832,2.224262,-,4208014.000,USD,,,,
FIRSTENERGY CORP,FE,337932107,2100920,2.165580,-,8841226.000,USD,,,,
ENTERGY CORP,ETR,29364G103,2317087,2.124694,-,3312135.000,USD,,,,
PPL CORP,PPL,69351T106,2680905,2.065619,-,11985249.000,USD,,,,
CENTERPOINT ENERGY INC,CNP,15189T107,2440637,1.896902,-,10247121.000,USD,,,,
CMS ENERGY CORP,CMS,125896100,2219224,1.821953,-,4741011.000,USD,,,,
ATMOS ENERGY CORP,ATO,049560105,2315359,1.739572,-,2330335.000,USD,,,,
EVERGY INC,EVRG,30034W106,BFMXGR0,1.419114,-,3736240.000,USD,,,,
AES CORP,AES,00130H105,2002479,1.418586,-,10872439.000,USD,,,,
ALLIANT ENERGY CORP,LNT,018802108,2973821,1.385358,-,4085945.000,USD,,,,
NISOURCE INC,NI,65473P105,2645409,1.155188,-,6610710.000,USD,,,,
PINNACLE WEST CAPITAL,PNW,723484101,2048804,0.948137,-,1841627.000,USD,,,,
NRG ENERGY INC,NRG,629377508,2212922,0.800641,-,3749985.000,USD,,,,
