Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
UNITEDHEALTH GROUP INC,UNH,91324P102,2917766,9.334707,-,7698075.000,USD,,,,
JOHNSON + JOHNSON,JNJ,478160104,2475833,8.474164,-,21540895.000,USD,,,,
ELI LILLY + CO,LLY,532457108,2516152,7.159946,-,6497643.000,USD,,,,
MERCK + CO. INC.,MRK,58933Y105,2778844,5.715269,-,20889254.000,USD,,,,
ABBVIE INC,ABBV,00287Y109,B92SR70,4.907657,-,14570610.000,USD,,,,
PFIZER INC,PFE,717081103,2684703,4.413358,-,46248306.000,USD,,,,
THERMO FISHER SCIENTIFIC INC,TMO,883556102,2886907,4.148835,-,3231291.000,USD,,,,
ABBOTT LABORATORIES,ABT,002824100,2002305,3.666310,-,14365330.000,USD,,,,
DANAHER CORP,DHR,235851102,2250870,3.151622,-,5400476.000,USD,,,,
BRISTOL MYERS SQUIBB CO,BMY,110122108,2126335,2.852733,-,17517448.000,USD,,,,
AMGEN INC,AMGN,031162100,2023607,2.420482,-,4399424.000,USD,,,,
MEDTRONIC PLC,MDT,G5960L103,BTN1Y11,2.278641,-,10959432.000,USD,,,,
ELEVANCE HEALTH INC,ELV,036752103,BSPHGL4,2.273691,-,1967753.000,USD,,,,
INTUITIVE SURGICAL INC,ISRG,46120E602,2871301,2.266766,-,2886842.000,USD,,,,
GILEAD SCIENCES INC,GILD,375558103,2369174,1.947068,-,10274120.000,USD,,,,
STRYKER CORP,SYK,863667101,2853688,1.910625,-,2777923.000,USD,,,,
CVS HEALTH CORP,CVS,126650100,2577609,1.855293,-,10579867.000,USD,,,,
VERTEX PHARMACEUTICALS INC,VRTX,92532F100,2931034,1.740615,-,2118205.000,USD,,,,
REGENERON PHARMACEUTICALS,REGN,75886F107,2730190,1.648059,-,885744.000,USD,,,,
ZOETIS INC,ZTS,98978V103,B95WG16,1.624886,-,3840033.000,USD,,,,
THE CIGNA GROUP,CI,125523100,BHJ0775,1.610820,-,2460818.000,USD,,,,
BOSTON SCIENTIFIC CORP,BSX,101137107,2113434,1.487124,-,11800889.000,USD,,,,
BECTON DICKINSON AND CO,BDX,075887109,2087807,1.457009,-,2339065.000,USD,,,,
HUMANA INC,HUM,444859102,2445063,1.308812,-,1029610.000,USD,,,,
HCA HEALTHCARE INC,HCA,40412C101,B4MGBG6,1.178280,-,1747002.000,USD,,,,
MCKESSON CORP,MCK,58155Q103,2378534,1.091433,-,1128264.000,USD,,,,
EDWARDS LIFESCIENCES CORP,EW,28176E108,2567116,1.079113,-,5093869.000,USD,,,,
DEXCOM INC,DXCM,252131107,B0796X4,0.992756,-,3183704.000,USD,,,,
BIOGEN INC,BIIB,09062X103,2455965,0.884585,-,1186427.000,USD,,,,
MODERNA INC,MRNA,60770K107,BGSXTS3,0.859127,-,2722164.000,USD,,,,
IQVIA HOLDINGS INC,IQV,46266C105,BDR73G1,0.781865,-,1529962.000,USD,,,,
IDEXX LABORATORIES INC,IDXX,45168D104,2459202,0.779826,-,682342.000,USD,,,,
CENTENE CORP,CNC,15135B101,2807061,0.753073,-,4537683.000,USD,,,,
AGILENT TECHNOLOGIES INC,A,00846U101,2520153,0.711979,-,2437640.000,USD,,,,
RESMED INC,RMD,761152107,2732903,0.668230,-,1210350.000,USD,,,,
ILLUMINA INC,ILMN,452327109,2613990,0.654526,-,1295984.000,USD,,,,
GE HEALTHCARE TECHNOLOGY,GEHC,36266G107,BL6JPG8,0.617024,-,2991638.000,USD,,,,
METTLER TOLEDO INTERNATIONAL,MTD,592688105,2126249,0.598492,-,182060.000,USD,,,,
AMERISOURCEBERGEN CORP,ABC,03073E105,2795393,0.578133,-,1333137.000,USD,,,,
ZIMMER BIOMET HOLDINGS INC,ZBH,98956P102,2783815,0.560163,-,1728974.000,USD,,,,
WEST PHARMACEUTICAL SERVICES,WST,955306105,2950482,0.525214,-,610014.000,USD,,,,
ALIGN TECHNOLOGY INC,ALGN,016255101,2679204,0.452810,-,597572.000,USD,,,,
CARDINAL HEALTH INC,CAH,14149Y108,2175672,0.444395,-,2118623.000,USD,,,,
BAXTER INTERNATIONAL INC,BAX,071813109,2085102,0.422751,-,4149953.000,USD,,,,
STERIS PLC,STE,G8473T100,BFY8C75,0.420879,-,816350.000,USD,,,,
INSULET CORP,PODD,45784P101,B1XGNW4,0.406317,-,572118.000,USD,,,,
HOLOGIC INC,HOLX,436440101,2433530,0.398555,-,2027497.000,USD,,,,
LABORATORY CRP OF AMER HLDGS,LH,50540R409,2586122,0.394836,-,728515.000,USD,,,,
COOPER COS INC/THE,COO,216648402,2222631,0.355939,-,405859.000,USD,,,,
MOLINA HEALTHCARE INC,MOH,60855R100,2212706,0.342802,-,480281.000,USD,,,,
WATERS CORP,WAT,941848103,2937689,0.311785,-,488502.000,USD,,,,
QUEST DIAGNOSTICS INC,DGX,74834L100,2702791,0.302322,-,912950.000,USD,,,,
REVVITY INC,RVTY,714046109,2305844,0.295609,-,1038623.000,USD,,,,
