Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
CONSOL ENERGY INC,CEIX,20854L108,BF4L070,5.094996,-,1427554.000,USD,,,,
ROYAL GOLD INC,RGLD,780287108,2755706,4.998247,-,726243.000,USD,,,,
HECLA MINING CO,HL,422704106,2418601,4.964938,-,15935494.000,USD,,,,
ATI INC,ATI,01741R102,2526117,4.743185,-,2108201.000,USD,,,,
FREEPORT MCMORAN INC,FCX,35671D857,2352118,4.687758,-,2174969.000,USD,,,,
NEWMONT CORP,NEM,651639106,2636607,4.679360,-,1954172.000,USD,,,,
RELIANCE STEEL + ALUMINUM,RS,759509102,2729068,4.650348,-,330075.000,USD,,,,
COMMERCIAL METALS CO,CMC,201723103,2213260,4.602626,-,1719647.000,USD,,,,
NUCOR CORP,NUE,670346105,2651086,4.337141,-,518559.000,USD,,,,
ALPHA METALLURGICAL RESOURCE,AMR,020764106,BMFND53,4.188974,-,495412.000,USD,,,,
CLEVELAND CLIFFS INC,CLF,185899101,BYVZ186,3.939336,-,4253452.000,USD,,,,
UNITED STATES STEEL CORP,X,912909108,2824770,3.920085,-,3027855.000,USD,,,,
STEEL DYNAMICS INC,STLD,858119100,2849472,3.912787,-,684486.000,USD,,,,
PIEDMONT LITHIUM INC,PLL,72016P105,BMGHM13,3.903343,-,1099811.000,USD,,,,
ALCOA CORP,AA,013872106,BYNF418,3.717804,-,1834508.000,USD,,,,
PEABODY ENERGY CORP,BTU,704551100,BDVPZV0,3.615455,-,3205803.000,USD,,,,
MP MATERIALS CORP,MP,553368101,BN15Y35,3.547644,-,2808132.000,USD,,,,
ARCH RESOURCES INC,ARCH,03940R107,BLB8B95,3.451680,-,543494.000,USD,,,,
URANIUM ENERGY CORP,UEC,916896103,B0VLLY2,3.275207,-,18196622.000,USD,,,,
COEUR MINING INC,CDE,192108504,2208136,2.425214,-,13264294.000,USD,,,,
ARCONIC CORP,ARNC,03966V107,BKLJ8S9,2.216307,-,1342674.000,USD,,,,
CARPENTER TECHNOLOGY,CRS,144285103,2177504,1.903455,-,644639.000,USD,,,,
CENTURY ALUMINUM COMPANY,CENX,156431108,2186254,1.887547,-,3862331.000,USD,,,,
COMPASS MINERALS INTERNATION,CMP,20451N101,2202763,1.857345,-,921146.000,USD,,,,
MATERION CORP,MTRN,576690101,2149622,1.690742,-,268484.000,USD,,,,
WORTHINGTON INDUSTRIES,WOR,981811102,2981932,1.257424,-,357912.000,USD,,,,
KAISER ALUMINUM CORP,KALU,483007704,B15CJ33,1.044435,-,265441.000,USD,,,,
TIMKENSTEEL CORP,TMST,887399103,BNBPMX1,0.982304,-,902925.000,USD,,,,
SCHNITZER STEEL INDS INC A,SCHN,806882106,2821298,0.900432,-,502974.000,USD,,,,
ENVIVA INC,EVA,29415B103,BP830S3,0.889164,-,1362185.000,USD,,,,
RYERSON HOLDING CORP,RYI,783754104,B3TPPZ6,0.790399,-,363835.000,USD,,,,
SUNCOKE ENERGY INC,SXC,86722A103,B3R0638,0.754890,-,1736994.000,USD,,,,
OLYMPIC STEEL INC,ZEUS,68162K106,2659013,0.480326,-,175210.000,USD,,,,
HAYNES INTERNATIONAL INC,HAYN,420877201,B02WVH7,0.465726,-,162523.000,USD,,,,
