Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
EQT CORP,EQT,26884L109,2319414,2.901344,-,2528949.000,USD,,,,
CHORD ENERGY CORP,CHRD,674215207,BLDDYB1,2.599983,-,565281.000,USD,,,,
PDC ENERGY INC,PDCE,69327R101,B89M5F2,2.538106,-,1173212.000,USD,,,,
RANGE RESOURCES CORP,RRC,75281A109,2523334,2.534501,-,2994752.000,USD,,,,
CNX RESOURCES CORP,CNX,12653C108,BF3FTF4,2.493326,-,5015103.000,USD,,,,
DENBURY INC,DEN,24790A101,BMZQZL2,2.489782,-,888441.000,USD,,,,
SOUTHWESTERN ENERGY CO,SWN,845467109,2828619,2.457238,-,15567966.000,USD,,,,
PIONEER NATURAL RESOURCES CO,PXD,723787107,2690830,2.416991,-,386870.000,USD,,,,
MURPHY OIL CORP,MUR,626717102,2611206,2.413193,-,2097838.000,USD,,,,
HESS CORP,HES,42809H107,2023748,2.409373,-,593275.000,USD,,,,
EOG RESOURCES INC,EOG,26875P101,2318024,2.374803,-,685532.000,USD,,,,
OCCIDENTAL PETROLEUM CORP,OXY,674599105,2655408,2.345054,-,1284759.000,USD,,,,
EXXON MOBIL CORP,XOM,30231G102,2326618,2.326038,-,713583.000,USD,,,,
COTERRA ENERGY INC,CTRA,127097103,2162340,2.321258,-,3127480.000,USD,,,,
SM ENERGY CO,SM,78454L100,2764188,2.310757,-,2671254.000,USD,,,,
CONOCOPHILLIPS,COP,20825C104,2685717,2.309982,-,737924.000,USD,,,,
CHEVRON CORP,CVX,166764100,2838555,2.304016,-,481608.000,USD,,,,
MARATHON OIL CORP,MRO,565849106,2910970,2.283810,-,3208442.000,USD,,,,
DIAMONDBACK ENERGY INC,FANG,25278X109,B7Y8YR3,2.275460,-,565820.000,USD,,,,
MATADOR RESOURCES CO,MTDR,576485205,B7MSLL8,2.262466,-,1507913.000,USD,,,,
PHILLIPS 66,PSX,718546104,B78C4Y8,2.258987,-,759795.000,USD,,,,
DEVON ENERGY CORP,DVN,25179M103,2480677,2.233444,-,1485833.000,USD,,,,
PERMIAN RESOURCES CORP,PR,71424F105,BQPCHB2,2.205498,-,7160665.000,USD,,,,
OVINTIV INC,OVV,69047Q102,BJ01KB6,2.197687,-,1962894.000,USD,,,,
APA CORP,APA,03743Q108,BNNF1C1,2.190201,-,2139272.000,USD,,,,
NORTHERN OIL AND GAS INC,NOG,665531307,BN6RJM0,2.173446,-,2213879.000,USD,,,,
COMSTOCK RESOURCES INC,CRK,205768302,BD82PS1,2.142962,-,7120921.000,USD,,,,
ANTERO RESOURCES CORP,AR,03674X106,BFD2WR8,2.117379,-,3286554.000,USD,,,,
HF SINCLAIR CORP,DINO,403949100,BMZQ9C1,2.105725,-,1560947.000,USD,,,,
PBF ENERGY INC CLASS A,PBF,69318G106,B7F4TJ7,2.055502,-,1736816.000,USD,,,,
MARATHON PETROLEUM CORP,MPC,56585A102,B3K3L40,2.003121,-,598286.000,USD,,,,
CALLON PETROLEUM CO,CPE,13123X508,BMYVSM0,2.001428,-,1972042.000,USD,,,,
VALERO ENERGY CORP,VLO,91913Y100,2041364,1.952749,-,581960.000,USD,,,,
TEXAS PACIFIC LAND CORP,TPL,88262P102,BM99VY2,1.903897,-,45171.000,USD,,,,
KOSMOS ENERGY LTD,KOS,500688106,BHK15K6,1.775477,-,8773589.000,USD,,,,
CIVITAS RESOURCES INC,CIVI,17888H103,BMG9GG2,1.766269,-,814704.000,USD,,,,
DELEK US HOLDINGS INC,DK,24665A103,BF5P189,1.737247,-,2425944.000,USD,,,,
MAGNOLIA OIL + GAS CORP   A,MGY,559663109,BF2GC59,1.671950,-,2703408.000,USD,,,,
VITAL ENERGY INC,VTLE,516806205,BLBCYD2,1.501710,-,1125496.000,USD,,,,
CALIFORNIA RESOURCES CORP,CRC,13057Q305,BMBK002,1.397289,-,1106575.000,USD,,,,
GREEN PLAINS INC,GPRE,393222104,B11FJD6,1.268726,-,1285893.000,USD,,,,
TELLURIAN INC,TELL,87968A104,BD3DWD3,1.045345,-,27452742.000,USD,,,,
CVR ENERGY INC,CVI,12662P108,B23PS12,1.008265,-,1271153.000,USD,,,,
TALOS ENERGY INC,TALO,87484T108,BDT56V9,0.957089,-,2205757.000,USD,,,,
EARTHSTONE ENERGY INC   A,ESTE,27032D304,BF191W9,0.906408,-,2302414.000,USD,,,,
SITIO ROYALTIES CORP A,STR,82983N108,BMF9G85,0.877768,-,1102789.000,USD,,,,
PAR PACIFIC HOLDINGS INC,PARR,69888T207,BJH08C3,0.694191,-,986307.000,USD,,,,
VERTEX ENERGY INC,VTNR,92534K107,B02PH34,0.634974,-,3271796.000,USD,,,,
W+T OFFSHORE INC,WTI,92922P106,B01Z7M4,0.619450,-,4908089.000,USD,,,,
RANGER OIL CORP A,ROCC,70788V102,BZCD9S2,0.588665,-,490149.000,USD,,,,
GEVO INC,GEVO,374396406,BGDLVV9,0.582684,-,12085954.000,USD,,,,
CLEAN ENERGY FUELS CORP,CLNE,184499101,B1Y1PC2,0.569546,-,4014530.000,USD,,,,
GULFPORT ENERGY CORP,GPOR,402635502,BND7X43,0.508365,-,167372.000,USD,,,,
WORLD FUEL SERVICES CORP,INT,981475106,2469450,0.455454,-,606864.000,USD,,,,
SILVERBOW RESOURCES INC,SBOW,82836G102,BDGKSC2,0.418212,-,517831.000,USD,,,,
VAALCO ENERGY INC,EGY,91851C201,2933353,0.260397,-,2053214.000,USD,,,,
BERRY CORP,BRY,08579X101,BF01Q65,0.206311,-,973689.000,USD,,,,
CRESCENT ENERGY INC A,CRGY,44952J104,BNR4QY1,0.166260,-,551345.000,USD,,,,
REX AMERICAN RESOURCES CORP,REX,761624105,2063670,0.157738,-,149063.000,USD,,,,

